Type of data.;f(vij)obs;prediction_trainig;fref;sIcI;sIcIV;sIIcIV;sIIIcII;sIIIcIII;sIIIcvII;sIVcIV;sVcv;sVIcvI
synthetic;0;training;0.4167;0.45194;1.01724;0.35872;0;0.031788462;0.02431;0.4191;0.8802;0.26344
synthetic;0;validation;0.4167;0.00714;1.5715;1.462;0.3905;0.350107285;0.5301;1.615;0;0.6496
synthetic;1;training;0.4167;0.06104;1.647;0;0.964;0.525;1.26558;1.615;0.45951;0
synthetic;1;training;0.4167;0.829;1.40976;1.43;0.2028;0;0;1.1805;1.239;0
synthetic;0;training;0.4167;0.29808;0.31086;1.462;0;0.259256592;0.04576;0.27716;0;0.46
synthetic;1;validation;0.4167;0.02156;0.97219;0;0.08112;0.541846047;1.19886;0.72;0.3276;0.39964
synthetic;0;training;0.4167;0.0117;0.333;0.7344;0.964;1.449871677;0.05376;0.72098;0.55002;1.27
synthetic;0;training;0.4167;0.01968;1.02065;0.48672;0.31974;0.030502889;0.56259;1.22493;0.6497;0.18012
synthetic;0;training;0.4167;0.25641;0.78848;1.462;0.153;0.459880295;0.437;0.97293;0;0.22156
synthetic;1;validation;0.4167;1.0752;0.5328;0.89419;0.39648;0.023692308;0.5268;0.53808;1.239;0.18204
synthetic;1;training;0.4167;0.97218;1.647;2.06559;0.484;0;0;1.615;0;0.43676
synthetic;0;training;0.4167;0.01089;0.31062;0.948;0.405;0.03374359;0.0262;0.53163;0.17496;0.174
synthetic;0;training;0.4167;0.0155;0;1.462;0;1.20002426;0.22057;1.615;0.0122;1.26096
synthetic;1;validation;0.4167;0.829;1.647;0.85432;0;0;0;1.33152;0;0.28161
synthetic;0;training;0.1667;0.22914;1.30449;1.462;0;0;0;1.615;0;0.76497
synthetic;0;training;0.1667;0.0195;1.647;0;0;1.20002426;1.533;1.615;0;0
synthetic;1;training;0.1667;0.32696;1.647;1.17121;0.964;0;0;2.00208;0;0
synthetic;0;validation;0.1667;0.41004;1.2376;1.40262;0.964;1.20002426;1.533;1.615;0;1.27
synthetic;0;training;0.1667;0.1104;0.59915;1.76704;0;0.545764657;1.533;0.73947;0.18816;0.58316
synthetic;0;training;0.1667;0.36112;0.97566;0.46904;0.43758;0.134822273;1.533;0.3034;0.24881;0.28998
synthetic;1;training;0.1667;0.98272;1.647;1.0155;0;0;0;1.25294;0.6966;0.14399
synthetic;0;validation;0.1667;0.4825;1.61975;0.56375;0;0.006267532;0.45012;0.51408;0;0.30275
synthetic;1;training;0.1667;0.01958;1.4112;0;0.07392;0;0;0.90688;0;0.53392
synthetic;0;training;0.1667;0.829;0.97053;0.37485;0.17914;0.055144231;0.05792;0.54464;0.95865;0.26496
synthetic;0;training;0.1667;0.16016;0.24335;0;0.1233;0.338136489;1.533;0.47561;0;0.48675
synthetic;0;validation;0.1667;0.0765;1.18026;0.69147;0.964;0.093116887;0.26656;1.05315;0;0.28282
synthetic;1;training;0.1667;0.00828;0.72534;0.92316;0.48708;0.146730769;0.74942;0.8364;0.23936;0.459
synthetic;0;training;0.1667;0.21842;0;0.304;0;0;0;0.32076;0.672;0.246
synthetic;0;training;0.1667;0.0184;0.22294;1.0288;0;0.044190708;0.28251;0.31816;0.19864;0.27824
synthetic;0;validation;0.1667;0.518;0.67536;0.35712;0;0.094769231;0;0.41743;0.31806;0.1976
synthetic;0;training;0.1667;0.6279;1.24176;1.28947;0.964;1.20002426;0.52744;0.667;0.2156;0.89486
synthetic;0;training;0.1667;0.23976;0.74814;0.46816;0.25088;0.034616957;0.143;0.3465;0.338;0.1924
synthetic;0;training;0.1667;0.52515;0.76752;0.48032;0.26656;0.014134615;1.05525;0.6006;0.81312;0.15984
synthetic;0;validation;0.1667;0.829;0.6104;0.49856;0.40992;0;0;0.3828;1.44021;0.16132
synthetic;0;training;0.1667;0.10858;0.2355;0.57456;0;0.461607949;0.36088;0.39798;0.4366;0.1965
synthetic;0;training;0.1667;0.23168;1.647;0;0;0;0;1.615;0.61957;0.1386
synthetic;0;training;0.1667;0.64768;1.647;1.462;0;0.817366803;0.30096;1.615;0;1.27
synthetic;0;validation;0.1667;0.07176;1.12338;1.4453;0.91932;0.545131006;1.533;1.615;0;0.72111
synthetic;0;training;0.1667;0.01133;0.15762;0.68667;0;0.068860229;0.58344;0.54282;0.45125;0.17214
synthetic;0;training;0.1667;0.01804;0.85646;1.462;0.21018;0.577746735;1.16874;0.59309;0;0.5265
synthetic;0;training;0.1667;0.02366;0.54418;0.96336;0.37449;0.026524251;0.44304;0.63296;1.239;0.23858
synthetic;0;validation;0.1667;0.0162;1.02704;1.17392;0;0.472733248;1.533;1.03853;0;0.39952
synthetic;0;training;0.1667;0.01947;1.54938;1.462;0;1.188386965;0.27489;1.615;0;0.66402
synthetic;0;training;0.1667;0.0238;0.48285;1.462;0;0.302612292;1.0948;0.57024;1.02508;0.288
synthetic;0;training;0.1667;0.97728;1.109;1.462;0.21736;0.065423077;1.37846;0.62172;0;0.22896
synthetic;0;validation;0.1667;0.00945;0.28574;0.66599;0.23352;0.005865385;0.0438;0.247;0.4635;0.22197
synthetic;0;training;0.1667;0.829;0.28731;1.28288;0;0.622788462;0;0.1804;1.17552;0.7366
synthetic;0;training;0.1667;0.01392;0.22294;1.17026;0.05895;0.10985415;0.5915;0.22304;0.41097;0.27504
synthetic;0;training;0.1667;0.53237;0.93939;0.53504;0;0.022288462;0.01599;0.462;0.56724;0.21904
synthetic;0;validation;0.1667;0.01288;1.67028;1.462;0.352;0.568491037;0.5301;1.615;0;0.86768
synthetic;1;training;0.1667;0.07056;1.647;0;0.964;0.51;1.2087;1.615;0.31212;0
synthetic;1;training;0.1667;0.829;1.45782;1.462;0.2028;0;0;1.50317;1.239;0
synthetic;0;training;0.1667;0.2208;0.24649;1.462;0;0.333028793;0.056;0.26568;0;0.696
synthetic;1;validation;0.1667;0.01452;0.77877;0;0.04944;0.579514489;0.71656;0.5256;0.26208;0.27604
synthetic;0;training;0.1667;0.00768;0.25086;0.99552;0.964;1.238432058;0.0378;1.222;0.36771;1.46598
synthetic;0;training;0.1667;0.01908;1.1175;0.36166;0.42267;0.04217356;0.79401;1.51044;0.5785;0.31126
synthetic;0;training;0.1667;0.37884;0.73216;1.462;0.2445;0.317974376;0.4554;1.48708;0;0.30178
synthetic;0;validation;0.1667;0.829;0.44622;1.15284;0.3024;0.015615385;0.48729;0.54112;1.239;0.2886
synthetic;0;training;0.1667;0.70213;1.647;1.462;0.46948;0;0;1.615;0;0.70526
synthetic;0;training;0.1667;0.0126;0.28557;0.63;0.28125;0.020102564;0.0284;0.49302;0.17172;0.24
synthetic;0;training;0.1667;0.012;0;1.40946;0;1.20002426;0.32039;1.615;0.0116;1.27
synthetic;1;validation;0.1667;0.829;0.99601;0.905;0;0;0;1.4016;0;0.21605
synthetic;0;training;0.4167;0.829;0.567;1.25775;0.1946;0.324189663;0.58643;0.46843;1.239;0.22648
synthetic;1;training;0.4167;0.0495;1.23845;0.80256;0.19008;0.216766203;1.43616;0.92272;0.02006;0.21285
synthetic;1;training;0.4167;0.31944;1.647;0;0;0.21024582;0.94164;1.25426;0.0153;0.31482
synthetic;1;validation;0.4167;0.39603;1.32498;1.462;0.3135;0.145299447;1.16958;1.46429;0.0216;0.18445
synthetic;1;training;0.4167;0.1026;0.65741;1.49211;0.141;0.485398115;1.19024;0.5584;0.14994;0.18792
synthetic;1;training;0.4167;0.4655;1.04894;0.49856;0.00548;0.027502447;0.20735;0.59986;0.56454;0.23712
synthetic;1;training;0.4167;0.45936;1.31835;0.392;0.42828;0.243582103;0.7788;0.4378;0.3131;0.24864
synthetic;0;validation;0.4167;0.47616;0.96007;1.3472;0.964;1.20002426;0.79515;0.4775;0.26257;1.07991
synthetic;1;training;0.4167;0.01908;0.89435;1.52902;0;0;0;0.83327;0.5928;0.20736
synthetic;1;training;0.4167;0.27924;0.51012;0.55328;0;0.036355769;0.02054;0.4653;0.32835;0.19536
synthetic;0;training;0.4167;0.22015;0.27475;0.49632;0;0.308074486;0.33813;0.31309;0.68808;0.4008
synthetic;0;training;0.4167;0.04053;1.59;0.89655;0;0.073470781;0.0666;0.39766;0.73187;0.22192
synthetic;1;training;0.4167;0.00642;1.1418;0.8844;0;0.305677675;0.17731;1.07525;0.52215;0.53165
synthetic;0;training;0.4167;0.829;0;0.57152;0;0.080681306;0.47526;0.40392;1.3549;0.2745
synthetic;0;training;0.4167;0.02337;0.41448;1.06425;0.00748;0.131670722;0.12324;0.4381;0.68442;0.24624
synthetic;0;training;0.4167;0.3128;0.56571;0.33456;0.29952;0.034730769;0;0.56279;0.5681;0.1824
synthetic;0;training;0.4167;0.5109;0.64896;1.20554;0;0.127884371;0.48233;0.6555;0.38304;0.1922
synthetic;0;training;0.4167;0.28836;0.75008;1.36119;0.07458;0.040158441;0.2002;0.48528;0.43605;0.19608
synthetic;1;training;0.4167;0.23968;0.67392;0.5928;0.19276;0.552955556;0;0.6501;0.2826;0.29452
synthetic;1;validation;0.4167;0.486;0.68125;0.43168;0;0;0;0.4686;0.33069;0.23088
synthetic;0;training;0.4167;0.06405;0.45844;0.7543;0.162;0.220675355;1.4586;0.62914;0.5994;0
synthetic;1;training;0.4167;0.30816;1.54008;0.264;0;0.249038462;0.79184;0.58108;0.45815;0.20276
synthetic;1;training;0.4167;0.35631;0.94224;1.462;0;0.478577685;0.10692;1.11534;0.022;1.27
synthetic;0;validation;0.4167;0.0632;0.53756;1.02971;0;0.463169589;1.56832;0.46436;0.14592;0.15808
synthetic;0;training;0.4167;0.01253;0.08064;0.48622;0;0.136506926;0.69443;0.23956;0.23188;0.2628
synthetic;0;training;0.4167;0.05655;0.37638;1.462;0;0.456586715;1.30299;0.81216;0.61614;0.23154
synthetic;1;training;0.4167;0.07335;0.3596;0.972;0.30968;0.036069416;0.28171;0.3894;1.239;0.24272
synthetic;0;training;0.4167;0.045;0.75438;0.59584;0;0.027596735;0.23595;0.5775;0.28798;0.24272
synthetic;0;training;0.4167;0.04752;0.89216;0.997;0.04608;0.400418342;0.44655;1.52633;0.02278;0.29808
synthetic;0;training;0.4167;0.0391;0.29225;1.462;0;0.485047658;0.81656;0.73232;0.9324;0.21164
synthetic;1;training;0.4167;0.39713;1.647;1.462;0;0.022480769;1.57193;0.31152;0.20114;0.23088
synthetic;0;training;0.4167;0.01737;0.31744;1.07381;0.08736;0.028442308;0.03515;0.25748;0.01395;0.25604
synthetic;0;training;0.4167;0.32025;0.30929;1.462;0.1809;0.312903846;0;0.1886;0.29;0.18944
synthetic;0;training;0.4167;0.02814;0.19468;0.91949;0.11144;0;0;0.25256;0.37147;0.18944
synthetic;1;training;0.4167;0.30794;0.59685;0.304;0;0.033798077;0.02119;0.5445;0.32697;0.27972
synthetic;0;training;0.4167;0.0248;0.69751;0.66722;0.56168;0.134126862;0.5852;0.49686;0.33462;0.1872
synthetic;1;training;0.4167;0.50292;1.2675;0;0.15958;0.665;0.86031;0.55322;0.48128;0.21312
synthetic;1;training;0.4167;0.6545;0.54536;0.216;0.04439;0;0;1.06008;0.58904;0.25752
synthetic;0;training;0.4167;0.92316;0.628;1.10109;0.24648;0.216084466;0.02064;0.46843;0.47784;0.2262
synthetic;1;validation;0.4167;0.02034;0.4902;0.6161;0;0.525203795;0.62682;0.59584;0.31556;0.24716
synthetic;1;training;0.4167;0.04727;0.20424;0.83325;0;1.449086835;0.03248;0.71151;0.44758;1.27
synthetic;0;training;0.4167;0.02706;0.46252;0.768;0;0.056950983;0.0624;0.4059;0.87318;0.17908
synthetic;0;training;0.4167;0.829;0.85332;1.1997;0.0475;0.335509551;0.2944;0.55942;1.239;0.16416
synthetic;1;validation;0.4167;0.36225;0.90712;1.61355;0.26182;0.062596154;0.67165;0.8211;1.39551;0.25776
synthetic;1;training;0.4167;0.23296;0.5668;0.39762;0;0.141491249;1.522;0.74444;0.11808;0.26593
synthetic;1;training;0.4167;0.0212;0.45621;0.78432;0;0.059948718;0.056;0.56898;0.16781;0.19564
synthetic;0;training;0.4167;0.0354;0;1.462;0;0.081264025;0.2415;1.615;0.0348;0.28055
synthetic;1;validation;0.4167;0.4032;0.61776;0.55974;0;0.024769231;0.68139;0.5412;0.34476;0.26788
synthetic;0;training;0.1667;0.829;0.60669;0.6837;0.2366;0.308628559;0.37823;0.6066;1.23392;0.25536
synthetic;0;training;0.1667;0.03;1.20649;0.69312;0.14916;0.289021604;1.3464;1.15024;0.01989;0.2178
synthetic;0;training;0.1667;0.39864;1.647;0;0;0.17520485;1.239;1.615;0.01575;0.37818
synthetic;1;training;0.1667;0.46971;1.5155;1.54198;0.26235;0.144118151;0.75144;1.55328;0.0232;0.2046
synthetic;0;training;0.1667;0.08493;0.57961;1.462;0.12596;0.266106581;0.94804;0.66659;0.27195;0.22518
synthetic;0;training;0.1667;0.3773;0.74422;0.43296;0.0064;0.039184903;0.16731;0.50213;0.54708;0.2052
synthetic;1;training;0.1667;0.30276;1.41;0.202;0.33615;0.199934443;1.04076;0.57312;0.24846;0.25012
synthetic;0;validation;0.1667;0.34472;0.85405;1.53244;0.964;1.20002426;0.94392;0.2825;0.3689;1.77216
synthetic;1;training;0.1667;0.01272;0.83088;1.462;0;0;0;1.04361;0.39;0.2304
synthetic;0;training;0.1667;0.24523;0.72072;0.3952;0;0.029230769;0.01768;0.5676;0.1914;0.16576
synthetic;0;training;0.1667;0.18685;0.17113;0.5076;0;0.178778976;0.30498;0.4063;0.71736;0.3384
synthetic;0;validation;0.1667;0.02835;1.53435;0.8772;0;0.047204025;0.1086;0.51224;0.449;0.18848
synthetic;1;training;0.1667;0.01092;1.2408;1.1088;0;0.337377582;0.26671;0.87975;0.53395;0.41846
synthetic;0;training;0.1667;0.91368;0;0.4104;0;0.139289425;0.48327;0.31482;1.239;0.2205
synthetic;0;training;0.1667;0.02185;0.35482;1.0965;0.00624;0.107471778;0.0975;0.52235;0.93126;0.21584
synthetic;0;validation;0.1667;0.19136;0.94458;0.44608;0.2688;0.046038462;0;0.58638;0.53222;0.15656
synthetic;0;training;0.1667;0.5031;0.72384;1.48022;0;0.191826557;0.40252;0.85675;0.4256;0.23095
synthetic;0;training;0.1667;0.2511;1.1427;1.734;0.10692;0.033830444;0.22022;0.54594;0.44625;0.19
synthetic;0;training;0.1667;0.36512;0.57096;0.5776;0.22436;0.5662;0;0.4158;0.324;0.21904
synthetic;0;validation;0.1667;0.40338;1.09;0.3344;0;0;0;0.6468;0.28251;0.15836
synthetic;0;training;0.1667;0.07076;0.43646;0.58756;0.1593;0.280993286;0.7854;0.73526;0.50868;0
synthetic;0;training;0.1667;0.39744;1.20888;0.264;0;0.153461538;1.25846;0.45372;0.4557;0.28564
synthetic;0;training;0.1667;0.43977;0.936;1.462;0.93632;0.60198451;0.17919;0.66023;0.01529;1.27
synthetic;0;validation;0.1667;0.0772;0.712;1.462;0.13724;0.460731855;1.42912;0.26923;0.15732;0.20064
synthetic;0;training;0.1667;0.01379;0.07448;0.4228;0.0465;0.135703944;0.89562;0.31588;0.23312;0.22776
synthetic;0;training;0.1667;0.03712;0.39483;1.24476;0;0.429408934;1.28757;0.45792;0.69174;0.34504
synthetic;0;training;0.1667;0.0828;0.42904;0.99;0.1817;0.028807118;0.14729;0.3432;1.239;0.25012
synthetic;0;validation;0.1667;0.0459;0.48768;0.54112;0;0.034132803;0.22022;0.3597;0.22638;0.1628
synthetic;0;training;0.1667;0.042;0.816;1.462;0.03912;0.322918018;0.32976;1.14283;0.02227;0.20574
synthetic;0;training;0.1667;0.0527;0.22712;1.58746;0;0.292018488;1.23176;0.74028;0.79254;0.21904
synthetic;0;training;0.1667;0.47603;1.61238;1.462;0;0.022211538;1.08636;0.28084;0.29548;0.1554
synthetic;0;validation;0.1667;0.01413;0.29016;0.89377;0.07112;0.020820513;0.02413;0.17384;0.01224;0.19832
synthetic;0;training;0.1667;0.3477;0.27475;1.70373;0.19296;0.283384615;0;0.3198;0.4553;0.23532
synthetic;0;training;0.1667;0.0336;0.20096;1.17026;0.05768;0;0;0.20336;0.50962;0.20128
synthetic;0;training;0.1667;0.29192;1.01724;0.4864;0;0.036538462;0.01482;0.5379;0.25515;0.2516
synthetic;0;validation;0.1667;0.0168;0.39165;0.78604;0.70924;0.142158411;0.31416;0.37338;0.33696;0.22608
synthetic;1;training;0.1667;0.43942;1.54635;0;0.2133;0.725;0.91008;0.60496;0.43992;0.29156
synthetic;0;training;0.1667;0.4697;0.70175;0.284;0.03542;0;0;1.0727;0.3552;0.27676
synthetic;0;training;0.1667;0.81012;0.53066;1.462;0.18802;0.204843078;0.01776;0.38081;0.69142;0.174
synthetic;1;training;0.1667;0.03546;0.6923;0.5959;0;0.320046062;0.53583;0.48944;0.26243;0.25752
synthetic;0;training;0.1667;0.03161;0.17094;0.6565;0;1.20002426;0.03277;0.65382;0.5143;1.27
synthetic;0;training;0.1667;0.03608;0.68632;1.104;0;0.049407807;0.0786;0.462;0.83916;0.24568
synthetic;0;training;0.1667;0.717;0.58529;1.0062;0.03575;0.496215807;0.2875;0.65378;1.239;0.21888
synthetic;0;validation;0.1667;0.4899;1.12723;1.75929;0.25935;0.067846154;0.59085;1.18335;1.239;0.2664
synthetic;0;training;0.1667;0.40544;0.8829;0.53016;0;0.14693322;0.86754;0.74947;0.19104;0.36743
synthetic;0;training;0.1667;0.0246;0.35964;1.36224;0;0.057435897;0.0724;0.51339;0.11349;0.2628
synthetic;0;training;0.1667;0.0528;0;1.462;0;0.077636167;0.16905;1.615;0.0351;0.20091
synthetic;0;validation;0.1667;0.35784;0.61308;0.54501;0;0.013596154;0.67536;0.5181;0.38012;0.18204
synthetic;0;training;0.4167;0.2145;0.52;1.08664;0.63784;0.220934625;0.4164;0.97632;0.28497;0.15326
synthetic;1;training;0.4167;0.01885;0.8868;0.62016;0;0.353606774;0.5146;1.7427;0.02145;0.27873
synthetic;1;training;0.4167;0.67461;1.04208;1.462;0;0.24165655;0.96288;1.90774;0.2839;0.31948
synthetic;1;validation;0.4167;0.52497;1.3423;1.462;0.17331;0.183269502;1.04232;1.52901;0.0378;0.20437
synthetic;1;training;0.4167;0.38628;1.1136;0.41072;0;0.26364272;0.86385;0.46191;0.5508;0.22594
synthetic;1;training;0.4167;0.33075;1.09686;0.3772;0;0.355513442;1.533;0.3116;0.18688;0.25456
synthetic;1;training;0.4167;0.35496;1.269;0.248;0;0.260477971;1.10448;0.44576;0.22487;0.17316
synthetic;1;validation;0.4167;0.36295;0.77935;1.18844;0;0.781422222;0;0.4;0.31;1.27
synthetic;1;training;0.4167;0.0474;0.74314;0.89964;0;0;0;0;0.25217;1.27
synthetic;1;training;0.4167;0.33998;0.77688;0.47728;0.38065;0.032153846;0.02184;0.4422;0.29548;0.1924
synthetic;0;training;0.4167;0.2506;0.36738;0.5472;0;0.129535521;0.0858;0.3861;0.54696;0.183
synthetic;0;training;0.4167;0.2552;0.65125;1.19504;0;0.059043648;0.11454;0.50784;0.89806;0.28906
synthetic;1;training;0.4167;0.017;1.16104;1.06008;0;0.357756094;0.23542;0.814;0.64945;0.23095
synthetic;0;training;0.4167;0.12321;0;0.51984;0.11418;0.105799072;0.46725;0.42174;0.60378;0.2265
synthetic;0;training;0.4167;0.03002;0.2983;1.00308;0;0.029385304;0.14364;0.2296;0.25944;0.1628
synthetic;0;training;0.4167;0.3705;0.87711;0.37064;0;0.028538462;0;0.56616;0.51042;0.27208
synthetic;0;training;0.4167;0.42051;0.95472;1.09872;0;0.189270989;0.56214;0.713;0.2355;0.16
synthetic;0;training;0.4167;0.22379;0.69734;1.3005;0;0.425336837;0.35741;0.62345;0.36864;0.28728
synthetic;1;training;0.4167;0.39432;0.56628;0.43776;0.44354;0.5066;0;0.4983;0.3738;0.16872
synthetic;1;validation;0.4167;0.3724;0.8175;0.608;0;0;0;0.4257;0.26474;0.24272
synthetic;0;training;0.4167;0.4912;0.314;0.38;0.08184;0.116455093;0.46458;0.36828;0.5754;0.2205
synthetic;1;training;0.4167;0.0884;1.647;1.11222;0;0.376584401;1.63625;1.615;0.0352;0.17152
synthetic;1;training;0.4167;0.6099;0.64272;1.462;0.88976;0.36254574;0.10296;0.88458;0.02576;1.27
synthetic;0;validation;0.4167;0.40261;0.4094;1.31905;0.1739;0.323570841;1.38714;0.36556;0.34391;0.16568
synthetic;0;training;0.4167;0.0483;0.09072;0.32314;0.04725;0.089933974;1.05138;0.26076;0.23932;0.2336
synthetic;0;training;0.4167;0.02754;1.11655;0.54544;0.13746;0.367321818;0.2461;0.34008;0.46494;0.304
synthetic;0;training;0.4167;0.0069;0.64296;0.5229;0.01288;0.039825934;0.17024;0.65504;0.082;0.18576
synthetic;0;validation;0.4167;0.03492;1.4877;0.89936;0.00895;0.342686763;0.3404;0.5152;0.93177;0.1937
synthetic;0;training;0.4167;0.05066;0.17869;1.16348;0;0.442977198;1.03108;0.63282;0.65786;0.18944
synthetic;1;training;0.4167;0.33988;1.20405;1.462;0;0.026923077;0.91353;0.25016;0.39204;0.28564
synthetic;0;training;0.4167;0.04628;0.31;0.74175;0.008;0.059230769;0.027;0.36733;0.44945;0.16112
synthetic;0;validation;0.4167;0.38843;0.23236;1.462;0.01443;0.318807692;0;0.22796;0.19404;0.16872
synthetic;0;training;0.4167;0.0192;0.5495;1.2384;0.04825;0.150742717;0.41919;0.34711;0.25228;0.29792
synthetic;1;training;0.4167;0.2331;1.06124;0.53865;0.01316;0.07375;0.04288;0.61088;0.4653;0.20562
synthetic;1;training;0.4167;0.01276;0.62316;0.53865;0.09296;0.272894758;0;0.39008;0.83952;0.20304
synthetic;1;validation;0.4167;0.10696;1.31712;0;0.964;0;0;1.615;0.40171;0
synthetic;1;training;0.4167;0.73899;0.51729;0.278;0.03915;0;0;1.24938;0.41175;0.17612
synthetic;0;training;0.4167;0.26908;0.5966;1.3005;0.36642;0.098443281;0.0312;0.42462;0.13734;0.25056
synthetic;1;training;0.4167;0.042;1.01184;1.462;0;0.406247698;0.48848;1.615;0.216;0
synthetic;0;validation;0.4167;0.00978;0.13431;0.95445;0.9268;0.887660522;0.04901;1.23713;0.5254;1.27
synthetic;1;training;0.4167;0.0462;0.69005;0.894;0;0.047144854;0.066;0.4752;0.83349;0.28564
synthetic;0;training;0.4167;0.38522;0.20757;0.86999;0.04756;0.272929076;0.35496;0.4437;1.03;0.23236
synthetic;1;training;0.4167;0.63954;0.64269;0.99765;0.237;0.025980769;0.58826;0.53504;1.239;0.24124
synthetic;1;validation;0.4167;0.3969;0.8512;0.36234;0;0.122988547;0.71568;0.7424;0.32742;0.26796
synthetic;1;training;0.4167;0.02478;0.31396;1.062;0;0.028179487;0.0362;0.41877;0.3069;0.2115
synthetic;1;training;0.4167;0.3276;0.6318;0.31616;0;0.019913462;0.01456;0.5181;0.30277;0.259
synthetic;0;training;0.1667;0.16731;0.47424;1.1186;0.52997;0.181429758;0.60378;1.26786;0.31329;0.17654
synthetic;0;validation;0.1667;0.02444;1.41149;0.72504;0;0.543140005;0.80095;1.615;0.02101;0.30644
synthetic;1;training;0.1667;0.42375;1.647;1.66;0;0.194597117;0.87792;1.27534;0.289;0.20049
synthetic;0;training;0.1667;0.61093;1.35096;1.462;0.18762;0.234103379;0.6363;1.01934;0.0284;0.20437
synthetic;1;training;0.1667;0.42291;0.82824;0.50434;0;0.316371264;0.68665;0.30705;0.414;0.24453
synthetic;0;validation;0.1667;0.47775;0.65448;0.59696;0;0.486624782;0.96;0.328;0.15744;0.28564
synthetic;1;training;0.1667;0.4437;1.128;0.23;0;0.221054278;1.07616;0.72436;0.199;0.22052
synthetic;0;training;0.1667;0.5063;0.8066;1.00122;0;1.0728;0;0.405;0.5797;0.922
synthetic;1;training;0.1667;0.0405;0.94165;1.0206;0;0;0;0;0.26123;1.27
synthetic;0;validation;0.1667;0.22072;0.8658;0.35264;0.3972;0.02375;0.01508;0.3465;0.2075;0.23976
synthetic;0;training;0.1667;0.20764;0.52124;0.608;0;0.137364591;0.13572;0.43659;0.48848;0.1845
synthetic;0;training;0.1667;0.3784;0.65646;0.924;0;0.074127791;0.0759;0.67712;0.99544;0.18774
synthetic;1;training;0.1667;0.02091;1.22414;1.17366;0;0.362284652;0.2533;0.96866;0.53632;0.21754
synthetic;0;validation;0.1667;0.12765;0;0.31616;0.0759;0.089815039;0.29904;0.31185;0.69053;0.1515
synthetic;0;training;0.1667;0.02907;0.29359;1.08024;0;0.034079998;0.07904;0.16892;0.20116;0.25752
synthetic;0;training;0.1667;0.52155;0.8823;0.39688;0;0.0455;0;0.63019;0.49232;0.1748
synthetic;0;training;0.1667;0.61311;0.94848;1.25895;0;0.111791637;0.5205;1.02925;0.2055;0.12928
synthetic;0;validation;0.1667;0.17227;0.70906;1.23114;0;0.280099869;0.38864;0.50887;0.38144;0.21888
synthetic;0;training;0.1667;0.54696;0.47736;0.5624;0.47333;0.403955556;0;0.4059;0.4272;0.1776
synthetic;0;training;0.1667;0.37975;1.05185;0.42256;0;0;0;0.6303;0.37107;0.27824
synthetic;0;training;0.1667;0.34998;0.21823;0.52896;0.12474;0.104276783;0.47259;0.38907;0.4872;0.2595
synthetic;0;validation;0.1667;0.1027;2.40734;1.36272;0;0.326518267;1.3825;1.2848;0.0276;0.13312
synthetic;0;training;0.1667;0.61632;1.14192;1.462;0.964;0.286358592;0.12177;0.92945;0.04347;1.27
synthetic;0;training;0.1667;0.38285;0.70132;1.21693;0.141;0.338738224;1.39472;0.40261;0.37859;0.20672
synthetic;0;training;0.1667;0.0371;0.07;0.36844;0.04239;0.114023432;0.92807;0.31588;0.18228;0.15914
synthetic;0;validation;0.1667;0.03366;1.33575;0.51622;0.10266;0.280593055;0.3749;0.38913;0.42714;0.304
synthetic;0;training;0.1667;0.00645;0.67716;0.4536;0.01183;0.057493078;0.29488;0.71392;0.14842;0.1584
synthetic;0;training;0.1667;0.02646;1.0089;0.75768;0.00745;0.4340699;0.3082;0.49312;1.17537;0.2086
synthetic;0;training;0.1667;0.03978;0.16867;1.66634;0;0.438027732;0.89268;0.7761;0.55426;0.24864
synthetic;0;validation;0.1667;0.40434;2.06259;1.58004;0;0.021673077;1.20981;0.4012;0.30096;0.27528
synthetic;0;training;0.1667;0.04732;0.36208;0.8643;0.00512;0.049711538;0.031;0.55942;0.8099;0.26752
synthetic;0;training;0.1667;0.434;0.23393;0.96824;0.01586;0.305032051;0;0.31652;0.28518;0.16576
synthetic;0;training;0.1667;0.011;0.60288;0.6579;0.02775;0.095927183;0.41919;0.44821;0.34748;0.21736
synthetic;0;validation;0.1667;0.3589;1.19698;0.58275;0.00952;0.1075;0.04864;0.5152;0.27965;0.21456
synthetic;1;training;0.1667;0.01364;1.0386;0.5355;0.11144;0.45816276;0;0.46;1.03488;0.20592
synthetic;1;training;0.1667;0.05656;1.22794;0;0.964;0;0;2.17168;0.50864;0
synthetic;1;training;0.1667;0.52785;0.71779;0.224;0.05319;0;0;0.76982;0.32635;0.27232
synthetic;0;validation;0.1667;0.23219;0.57776;1.462;0.30141;0.112259882;0.0264;0.61671;0.17985;0.15408
synthetic;1;training;0.1667;0.03984;1.24848;1.81838;0;0.714695024;0.48504;1.615;0.2112;0
synthetic;0;training;0.1667;0.00882;0.11544;0.79285;0.81426;1.20002426;0.03074;0.82689;0.31808;1.27
synthetic;0;training;0.1667;0.04956;0.64156;0.762;0;0.040733154;0.1116;0.3729;1.11699;0.16576
synthetic;0;validation;0.1667;0.37286;0.17205;1.22949;0.0464;0.267629482;0.31552;0.58446;0.78795;0.27528
synthetic;0;training;0.1667;0.4104;0.59274;0.92375;0.16274;0.016692308;0.878;0.34048;1.239;0.17168
synthetic;0;training;0.1667;0.53235;0.70528;0.31779;0;0.11863497;0.50197;0.90112;0.42586;0.29029
